genre_1,genre_2,feature,n1,n2,mean_1,mean_2,t_stat,p_value,cohens_d,p_bonf
Death Metal,Black Metal,instrumentalness,318,204,0.33987506987421384,0.6363605397058824,-9.661038938498146,4.650679917446058e-20,-0.8763523505435599,1.6742447702805808e-18
Death Metal,Black Metal,danceability,318,204,0.3308364779874214,0.23699264705882356,8.45284748755165,3.9527279023663466e-16,0.7483290393583102,1.4229820448518846e-14
Industrial Metal,Alternative Metal,danceability,102,260,0.5755588235294118,0.49351923076923077,7.072986124842107,1.3583853115193952e-11,0.7082946265644812,4.890187121469823e-10
Death Metal,Black Metal,energy,318,204,0.932877358490566,0.8338098039215686,6.814885315922548,5.963833058064648e-11,0.693352285819824,2.1469799009032733e-09
Industrial Metal,Alternative Metal,speechiness,102,260,0.05748039215686274,0.08746884615384615,-6.582166885167618,1.6508540213036112e-10,-0.561449081607268,5.9430744766930005e-09
Death Metal,Black Metal,loudness,318,204,-6.153245283018868,-7.859495098039216,5.7005832187574415,2.6423831351405734e-08,0.5505159617533488,9.512579286506064e-07
Doom Metal,Post-metal,instrumentalness,126,18,0.401876795,0.7455555555555556,-6.49634425317877,3.46701084565511e-08,-0.9136993554909593,1.2481239044358398e-06
Death Metal,Black Metal,speechiness,318,204,0.10573993710691824,0.07854460784313726,5.1869262299229115,3.151638453059818e-07,0.44837696977955077,1.1345898431015345e-05
Doom Metal,Post-metal,valence,125,18,0.26867199999999997,0.1297888888888889,4.383240548521157,0.00013561210478734212,0.8170794712575806,0.004882035772344317
Death Metal,Black Metal,valence,318,204,0.23502012578616352,0.1799843137254902,3.7919409897400738,0.0001700934746519743,0.33726162406588406,0.006123365087471075
Thrash Metal,Speed Metal,loudness,216,20,-6.31387037037037,-5.3290500000000005,-2.8617515199843044,0.00712243455767154,-0.39330675806233334,0.25640764407617544
Industrial Metal,Alternative Metal,instrumentalness,102,260,0.15781549941176473,0.08432387380769231,2.569604933945445,0.011193891716078859,0.3443227390075496,0.4029801017788389
Death Metal,Black Metal,acousticness,318,204,0.005243162327044025,0.03381889083333332,-2.485287594262393,0.013656552690711688,-0.2668722669646281,0.49163589686562076
Death Metal,Black Metal,tempo,318,204,120.60675157232704,126.96482352941177,-2.3603389517638362,0.01872263189875662,-0.21470285453257063,0.6740147483552383
Doom Metal,Post-metal,danceability,126,18,0.2616325396825397,0.3047222222222222,-1.5558283883576334,0.13368664081344142,-0.3820155083161779,1.0
Death Metal,Black Metal,liveness,318,204,0.20716006289308178,0.22379705882352943,-1.2105842571944678,0.2267584680757002,-0.11060397530875571,1.0
Doom Metal,Post-metal,speechiness,126,18,0.051190476190476196,0.04347222222222222,2.267303292277848,0.02899128798395688,0.3561860362861636,1.0
Doom Metal,Post-metal,loudness,126,18,-9.742357142857143,-9.84077777777778,0.11835147349974047,0.9065481198989955,0.021139188155428226,1.0
Doom Metal,Post-metal,liveness,126,18,0.17786825396825395,0.15525,0.7789613279912593,0.44352283753132193,0.17336331416172984,1.0
Doom Metal,Post-metal,energy,126,18,0.6292817460317459,0.616,0.20139224606911843,0.8423134757986562,0.054675338291248016,1.0
Thrash Metal,Speed Metal,danceability,216,20,0.4102824074074074,0.37094999999999995,1.2114551604004316,0.23899831493564017,0.3422842355208329,1.0
Thrash Metal,Speed Metal,energy,216,20,0.9166620370370372,0.9259499999999999,-0.6542869634741314,0.5179232616418994,-0.10084504681857874,1.0
Thrash Metal,Speed Metal,acousticness,216,20,0.008652549305555556,0.009379528500000001,-0.08241739016714847,0.9349148744356386,-0.013987534661255185,1.0
Doom Metal,Post-metal,tempo,126,18,120.70080158730158,126.30788888888891,-0.8845070521040471,0.38529738345983944,-0.20254252296313655,1.0
Thrash Metal,Speed Metal,liveness,216,20,0.17505694444444447,0.23937499999999998,-1.3589387532120354,0.18899751238473594,-0.4650365945124144,1.0
Thrash Metal,Speed Metal,instrumentalness,216,20,0.16106340925925927,0.1079165645,0.8830672008603582,0.38631807831525433,0.19831732977166408,1.0
Thrash Metal,Speed Metal,speechiness,216,20,0.09995462962962963,0.09998499999999999,-0.002336312485088583,0.9981551757885918,-0.00048111066983073816,1.0
Thrash Metal,Speed Metal,tempo,216,20,125.36884722222223,125.38235,-0.0018485401291600272,0.9985418193500673,-0.0004751142604663644,1.0
Industrial Metal,Alternative Metal,acousticness,102,260,0.014008321764705883,0.027454936961538463,-1.4454842771385896,0.1497813923611087,-0.15773889717944523,1.0
Thrash Metal,Speed Metal,valence,216,20,0.35168518518518516,0.41605,-1.218000316143261,0.23634291477428085,-0.3252603906297123,1.0
Industrial Metal,Alternative Metal,energy,102,260,0.8518235294117645,0.861323076923077,-0.6130179432512645,0.5406719081191063,-0.07412837345518625,1.0
Doom Metal,Post-metal,acousticness,126,18,0.09447275396825396,0.05015099222222222,0.9751393465163756,0.34007851338340944,0.24768918445658344,1.0
Industrial Metal,Alternative Metal,liveness,102,260,0.22628431372549018,0.21384615384615385,0.6515892958893204,0.5154602282204188,0.07540607375883027,1.0
Industrial Metal,Alternative Metal,loudness,102,260,-6.026303921568625,-5.79425,-0.6773335699496893,0.49916876706259694,-0.08513540693710801,1.0
Industrial Metal,Alternative Metal,tempo,102,260,124.34262745098037,121.07262307692308,1.1080914436515268,0.2690784695747167,0.12155823977772447,1.0
Industrial Metal,Alternative Metal,valence,102,260,0.4667921568627451,0.46963807692307696,-0.12144948416081038,0.9034598405624266,-0.013816653991315502,1.0
